Record_Type,Transaction_ID,Date,Store_ID,Store_Name,Store_City,Store_Region,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Cost,Unit_Retail,Expense_Type,Expense_Amount
SALES,TX-1,2025-02-09,1,Branch_1,cairo,Alex Coast,101,Prod_101,Home Care,Snacks,1,79.09,105.17,NOT_APPLICABLE,0.0
SALES,TX-2,2025-05-22,8,Branch_8,Tanta,Delta,116,Prod_116,Beverages,Shampoo,9,129.35,173.18,NOT_APPLICABLE,0.0
SALES,TX-3,2025-07-09,3,Branch_3,Alexandria,Delta,109,Prod_109,Home Care,Dairy,4,101.4,140.85,NOT_APPLICABLE,0.0
SALES,TX-4,2025-12-29,4,Branch_4,ALEXANDRIA,Delta,119,Prod_119,Personal Care,Detergents,3,143.02,194.02,NOT_APPLICABLE,0.0
SALES,TX-5,2025-12-25,10,Branch_10,cairo,Greater Cairo,119,Prod_119,Groceries,Soft Drinks,5,143.51,181.68,NOT_APPLICABLE,0.0
SALES,TX-6,2026-03-26,10,Branch_10,cairo,Greater Cairo,117,Prod_117,Home Care,Shampoo,6,134.34,169.67,NOT_APPLICABLE,0.0
SALES,TX-7,2025-04-13,2,Branch_2,CAIRO,Greater Cairo,106,Prod_106,Groceries,Shampoo,9,95.63,118.33,NOT_APPLICABLE,0.0
SALES,TX-8,2025-09-06,5,Branch_5,Giza,Greater Cairo,111,Prod_111,Groceries,Dairy,11,106.16,134.02,NOT_APPLICABLE,0.0
SALES,TX-9,2026-02-17,9,Branch_9,Cairo,Delta,100,Prod_100,Personal Care,Dairy,2,72.2,99.28,NOT_APPLICABLE,0.0
SALES,TX-10,2025-05-04,1,Branch_1,cairo,Alex Coast,112,Prod_112,Personal Care,Snacks,8,127.16,153.02,NOT_APPLICABLE,0.0
SALES,TX-11,2026-01-25,4,Branch_4,ALEXANDRIA,Delta,104,Prod_104,Personal Care,Soft Drinks,5,82.68,104.57,NOT_APPLICABLE,0.0
SALES,TX-12,2025-01-16,4,Branch_4,ALEXANDRIA,Delta,110,Prod_110,Personal Care,Shampoo,12,102.38,137.85,NOT_APPLICABLE,0.0
SALES,TX-13,2025-12-02,8,Branch_8,Tanta,Delta,112,Prod_112,Groceries,Shampoo,1,121.71,155.22,NOT_APPLICABLE,0.0
SALES,TX-14,2025-03-10,10,Branch_10,cairo,Greater Cairo,110,Prod_110,Beverages,Dairy,2,110.83,141.81,NOT_APPLICABLE,0.0
